#CODIGO_BLR;DESCRICAO_BLR
001;Resolução 4482/2016
002;Resolução 4504/2016
003;Resolução 4507/2016
004;Resolução 4508/2016
005;Resoluções 4519/2016 e 4522/2016
006;Resolução 4532/2016
008;MCR 13-1-4 (Res 3.979 art 1) - Fonte: BNDES
009;Lei n 13.340/2016
007;MCR 2-6-9 e 2-6-10 (Res 3.476 art 1 II Circ 1.536 Cta-Cir 3.719 art 2)
010;Resolução 4545/2016
011;Resolução 4554/2017
012;Resolução 4565/2017
013;Resolução 4568/2017
014;Resolução 4591/2017
015;MCR 9-2-4 (Res 3.995) - FUNCAFÉ
016;MCR 2-6-12 - (Circ 1.536) - RETORNO CAPITAL EMPRESTADO - FONTES LIVRES/ Res. 4651 Art 2 e Art 3
018;MCR 3-3-13 (Res 4.106)
017;MCR 10-1-24 (Res 4.107, Res 4.483 art 1º) - PRONAF
019;MCR 3-2-25 (Res. 4.580 art. 3º, Res. 4.583 art. 2º) e MCR 10-4-8  – CUSTEIO ALONGADO
020;MCR 12-1-11 (Res 4.177; Res 4.269 art 1º) - FUNDO DE TERRAS E DA REFORMA AGRÁRIA
021;MCR 16-1-17 (Res 4418)
022;MCR 10-4-8 (Res 4107)
999;CORREÇÃO DA DATA DE VENCIMENTO
023;Resolução 4.660/2018, Lei n 13.606/2018
024;Resolução 4.234/2013 (MCR 6-1-7) - COMPOSIÇÃO, NOVAÇÃO, ASSUNÇÃO DE DÍVIDA OU OUTRO ACORDO
25;RESOLUÇÃO Nº 4.711, DE 27/02/2019 - BRUMADINHO
026;MCR 3-4-28-"a" (Res 4583 art. 3º)
027;MCR 3-4-28-"d" (Res 4666 art. 8º)
028;Resolução 4.738/2019
029;Resolução 4755/2019
030;Res. 4802, Art. 1º - Seca ou Estiagem/ Res. 4823– Art 1º - FTRA/ Res. No 4840, Art 2, de 30/07/2020
031;Res. No 4801, Art. 1, de 09/04/2020 - Covid-19/ Res. No 4840, Art 1, de 30/07/2020
