#CODIGO,DESCRICAO,VALOR,DATA_INICIO,DATA_FIM
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",4.00,"01/07/2017",
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",2.00,"22/06/2012","30/06/2013"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",2.00,"02/05/2012","21/06/2012"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",3.50,"07/10/2011","01/05/2012"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",3.00,"01/07/2015","30/06/2017"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",2.00,"01/07/2013","30/06/2015"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR",8.00,"05/10/2011","06/10/2011"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",3.00,"01/07/2012","30/06/2013"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",4.00,"01/07/2015",
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",3.00,"01/07/2013","30/06/2015"
"0240","ANF - ATIVIDADE NÃO FINANCIADA ENQUADRADA NO PROAGRO",6.00,"01/01/2017",
"0240","ANF - ATIVIDADE NÃO FINANCIADA ENQUADRADA NO PROAGRO",5.00,"01/07/2013","31/12/2016"
"0240","ANF - ATIVIDADE NÃO FINANCIADA ENQUADRADA NO PROAGRO",3.00,"01/01/2013","30/06/2013"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO",3.00,"01/01/2013",
