#TCL_ID,TCL_NM_OPERADOR_ATUALIZACAO,TCL_DH_ULTIMA_INCLUSAO,TCL_CD,TCL_DS
1,DEROP.CERQUEIRA,12/16/2022 10:58:56,01,Alta disponibilidade de frio
0,DEINF.SOUSA,11/16/2022 11:14:02,00,Não se aplica
2,DEROP.CERQUEIRA,12/16/2022 10:59:47,02,Média disponibilidade de frio
3,DEROP.CERQUEIRA,12/16/2022 11:00:04,03,Baixa disponibilidade de frio
4,DEROP.CERQUEIRA,12/16/2022 11:01:06,04,Semiárido
5,DEROP.CERQUEIRA,12/16/2022 11:04:14,05,Clima Ameno
6,DEROP.CERQUEIRA,12/16/2022 11:04:37,06,Clima Quente
7,DEROP.CERQUEIRA,12/16/2022 11:02:22,07,Clima Tropical
8,DEROP.CERQUEIRA,12/16/2022 11:02:57,08,Clima Subtropical Ameno
9,DEROP.CERQUEIRA,12/16/2022 11:03:19,09,Clima Subtropical Frio
21,DEROP.LAIS,06/20/2023 16:04:35,10,Controle de Geada
