#EMPREENDIMENTO,CODIGO_TIPO_AGROPECUARIA,TIPO_AGROPECUARIA,CODIGO_TIPO_INTEGRACAO_CONSORCIO,TIPO_INTEGRACAO_CONSORCIO,CODIGO_GRAO_SEMENTE,GRAO_SEMENTE,CODIGO_TIPO_IRRIGACAO,TIPO_IRRIGACAO,CODIGO_TIPO_CULTIVO_EXPLORACAO,TIPO_CULTIVO_EXPLORACAO,CODIGO_FASE_CICLO_PRODUCAO,FASE_CICLO_PRODUCAO,CODIGO_ANTIGO
"11231840025408","*","*","*","*","*","*","*","*","*","*","*","*","34095926"
"12011420000842","*","*","1","Consórcio","*","*","*","*","*","*","*","*","11080002"
"12011420000843","*","*","1","Consórcio","*","*","*","*","*","*","*","*","11080112"
"14031880370408","*","*","*","*","8","Grão","*","*","*","*","*","*","34112005"
"11207140000408","*","*","*","*","*","*","*","*","*","*","*","*","11326553"
"11201000000408","*","*","*","*","*","*","*","*","*","*","*","*","11050001"
"11201860000408","*","*","*","*","*","*","*","*","*","*","*","*","11096003"
"11202320000408","*","*","*","*","3","Semente","*","*","*","*","*","*","11125008"
"11203760000408","*","*","*","*","*","*","*","*","*","*","*","*","11185000"
"11200580000408","*","*","*","*","*","*","*","*","*","*","*","*","11035002"
"11201780089408","*","*","*","*","*","*","*","*","*","*","*","*","11090009"
"21201280090408","*","*","*","*","*","*","*","*","*","*","*","*","70305010"
"11203880000408","*","*","*","*","*","*","*","*","*","*","*","*","31190013"
"11204720126408","*","*","*","*","*","*","*","*","*","*","*","*","31254054"
"11172080000408","*","*","*","*","*","*","*","*","*","*","*","*","32105007"
"14032080000408","*","*","*","*","*","*","*","*","*","*","*","*","32105007"
"12016565000042","*","*","*","*","*","*","*","*","*","*","*","*","11001005"
"12017321000442","*","*","*","*","*","*","01","Não Irrigado","*","*","*","*","11218001"
"11172320000408","*","*","*","*","*","*","*","*","*","*","*","*","11125510"
"21235600372408","*","*","*","*","*","*","*","*","*","*","*","*","72705728"
"11235600428408","*","*","*","*","*","*","*","*","*","*","*","*","72705728"
"11231840020408","*","*","*","*","*","*","*","*","*","*","*","*","34095926"
"11231840429408","*","*","*","*","*","*","*","*","*","*","*","*","32095485"
"11231840430408","*","*","*","*","*","*","*","*","*","*","*","*","32095485"
"11231840431408","*","*","*","*","*","*","*","*","*","*","*","*","32095485"
"11231840179408","*","*","*","*","*","*","*","*","*","*","*","*","32095485"
"12017280181042","*","*","*","*","*","*","*","*","*","*","*","*","11340883"
"12016940432042","*","*","*","*","*","*","*","*","*","*","*","*","11320906"
"12016940432043","*","*","*","*","*","*","*","*","*","*","*","*","11320906"
"12014660000052","*","*","*","*","*","*","*","*","*","*","*","*","34165007"
"00000000000000","*","*","*","*","*","*","*","*","*","*","*","*","00000000"
"11237140322032","*","*","*","*","3","Semente","*","*","*","*","*","*","34326004"
"11234100322012","*","*","*","*","3","Semente","*","*","*","*","*","*","34210000"
"11234680322012","*","*","*","*","3","Semente","*","*","*","*","*","*","34235009"
"22435830342408","*","*","*","*","*","*","*","*","*","*","*","*","51790008"
"11180560136022","*","*","*","*","*","*","*","*","*","*","*","*","31030159"
"22435830343408","*","*","*","*","*","*","*","*","*","*","*","*","51790008"
"12015760162053","*","*","*","*","*","*","*","*","*","*","*","*","34112005"
"11185080322022","*","*","*","*","*","*","*","*","*","*","*","*","31270108"
"11186720322022","*","*","*","*","*","*","*","*","*","*","*","*","31310013"
"11186740322022","*","*","*","*","*","*","*","*","*","*","*","*","31315001"
"11300560129022","*","*","*","*","*","*","*","*","*","*","*","*","30030105"
"11300560136022","*","*","*","*","*","*","*","*","*","*","*","*","30030150"
"11300560091022","*","*","*","*","*","*","*","*","*","*","*","*","30030057"
"11303760322022","*","*","*","*","*","*","*","*","*","*","*","*","30185067"
"11305080322022","*","*","*","*","*","*","*","*","*","*","*","*","30270109"
"11306720322022","*","*","*","*","*","*","*","*","*","*","*","*","30310014"
"11306740322022","*","*","*","*","*","*","*","*","*","*","*","*","30315806"
"22605780342002","1","Exploração Pecuária - ENCERRADO","0","Não se aplica","0","Não se aplica","00","Não se aplica","00","Não se aplica","00","Não se aplica","51775009"
"12016775322042","*","*","*","*","*","*","*","*","*","*","*","*","11170008"
"13126775322042","*","*","*","*","*","*","*","*","*","*","*","*","21170005"
"13126470322042","*","*","*","*","*","*","*","*","*","*","*","*","21170005"
"23505860072002","*","*","*","*","*","*","*","*","*","*","*","*","62775115"
"22505860071002","*","*","*","*","*","*","*","*","*","*","*","*","51770231"
"11300160000042","*","*","*","*","*","*","*","*","*","*","*","*","30016040"
"11300560091011","*","*","*","*","*","*","*","*","*","*","*","*","30030057"
"11300560129011","*","*","*","*","*","*","*","*","*","*","*","*","30030105"
"11300560136011","*","*","*","*","*","*","*","*","*","*","*","*","30030150"
"11300580322012","*","*","*","*","*","*","*","*","*","*","*","*","30035045"
"11300640322011","*","*","*","*","*","*","*","*","*","*","*","*","30040700"
"11300900322011","*","*","*","*","*","*","*","*","*","*","*","*","30045073"
"11301000322031","*","*","*","*","*","*","*","*","*","*","*","*","30050051"
"11306640063011","*","*","*","*","*","*","*","*","*","*","*","*","30075005"
"11301580322011","*","*","*","*","*","*","*","*","*","*","*","*","30085026"
"11301860322031","*","*","*","*","*","*","*","*","*","*","*","*","30096101"
"11301780089011","*","*","*","*","*","*","*","*","*","*","*","*","30110702"
"11302080322012","*","*","*","*","*","*","*","*","*","*","*","*","30105212"
"11302020095002","*","*","*","*","*","*","*","*","*","*","*","*","30100107"
"11302320322031","*","*","*","*","*","*","*","*","*","*","*","*","30125010"
"11303760322031","*","*","*","*","*","*","*","*","*","*","*","*","30185067"
"11303880322011","*","*","*","*","*","*","*","*","*","*","*","*","30190014"
"11304100322012","*","*","*","*","*","*","*","*","*","*","*","*","30210107"
