nomeIF,Categoria,private-public
BANCO BTG PACTUAL S.A.,Bancos Privados,Private
BANCO CNH INDUSTRIAL CAPITAL S.A,Bancos Privados,Private
BANCO JOHN DEERE S.A.,Bancos Privados,Private
BANCO ORIGINAL,Bancos Privados,Private
BANCO SISTEMA,Bancos Privados,Private
BANCOOB,Bancos Privados,Private
BCO ABC BRASIL S.A.,Bancos Privados,Private
BCO ABN AMRO S.A.,Bancos Privados,Private
BCO ALFA DE INVESTIMENTO S.A.,Bancos Privados,Private
BCO BMG S.A.,Bancos Privados,Private
BCO BNP PARIBAS BRASIL S A,Bancos Privados,Private
BCO BOCOM BBM S.A.,Bancos Privados,Private
BCO BRADESCO S.A.,Bancos Privados,Private
BCO CCB BRASIL S.A.,Bancos Privados,Private
BCO CITIBANK S.A.,Bancos Privados,Private
BCO COOPERATIVO SICREDI S.A.,Bancos Privados,Private
BCO DAYCOVAL S.A,Bancos Privados,Private
BCO DE LAGE LANDEN BRASIL S.A.,Bancos Privados,Private
BCO FIBRA S.A.,Bancos Privados,Private
BCO MERCANTIL DO BRASIL S.A.,Bancos Privados,Private
BCO MUFG BRASIL S.A.,Bancos Privados,Private
BCO PINE S.A.,Bancos Privados,Private
BCO RABOBANK INTL BRASIL S.A.,Bancos Privados,Private
BCO RIBEIRAO PRETO S.A.,Bancos Privados,Private
BCO SAFRA S.A.,Bancos Privados,Private
BCO SANTANDER (BRASIL) S.A.,Bancos Privados,Private
BCO TRIANGULO S.A.,Bancos Privados,Private
BCO VOTORANTIM S.A.,Bancos Privados,Private
ITAÚ UNIBANCO S.A.,Bancos Privados,Private
BCO BANESTES S.A.,Bancos Públicos,Public
BCO DA AMAZONIA S.A.,Bancos Públicos,Public
BCO DO BRASIL S.A.,Bancos Públicos,Public
BCO DO EST. DE SE S.A.,Bancos Públicos,Public
BCO DO EST. DO PA S.A.,Bancos Públicos,Public
BCO DO ESTADO DO RS S.A.,Bancos Públicos,Public
BCO DO NORDESTE DO BRASIL S.A.,Bancos Públicos,Public
BRB - BCO DE BRASILIA S.A.,Bancos Públicos,Public
CAIXA ECONOMICA FEDERAL,Bancos Públicos,Public
AF ESTADO DE MT-DESENVOLVE MT,Bco. Desenv. e Ag. Fomento,Public
BADESUL DESENVOLVIMENTO AF/RS,Bco. Desenv. e Ag. Fomento,Public
BCO DES. DE MG S.A.,Bco. Desenv. e Ag. Fomento,Public
BCO DES. DO ES S.A.,Bco. Desenv. e Ag. Fomento,Public
BD REGIONAL DO EXTREMO SUL,Bco. Desenv. e Ag. Fomento,Public
BNDES,Bco. Desenv. e Ag. Fomento,Public
DESENBAHIA AG FOMENTO BAHIA SA,Bco. Desenv. e Ag. Fomento,Public
C.C ALIANÇA RS/SC - SICREDI ALIANÇA RS/SC,Cooperativa de Crédito,Private
C.C. DO CENTRO DO ESTADO DE RONDÔNIA,Cooperativa de Crédito,Private
C.C.L.A. DO VALE DO MUCURI LTD,Cooperativa de Crédito,Private
CC AGROCREDI LTDA,Cooperativa de Crédito,Private
CC ALTO PARANAIBA E REGIÃO,Cooperativa de Crédito,Private
CC ALTO VALE DO ITAJAÍ,Cooperativa de Crédito,Private
CC CAP UNICIDADES,Cooperativa de Crédito,Private
CC CARLOS CHAGAS,Cooperativa de Crédito,Private
CC CASCAVEL REG SICOOB CREDICAPITAL,Cooperativa de Crédito,Private
CC CENTRO LESTE - SICREDI CENTRO LESTE RS,Cooperativa de Crédito,Private
CC CENTRO SUL MINEIRO,Cooperativa de Crédito,Private
CC COCRE,Cooperativa de Crédito,Private
CC COOPACREDI,Cooperativa de Crédito,Private
CC COOPCRED,Cooperativa de Crédito,Private
CC COOPLIVRE,Cooperativa de Crédito,Private
CC CREDCOOPER LTDA,Cooperativa de Crédito,Private
CC CREDIAGRO,Cooperativa de Crédito,Private
CC CREDIALP,Cooperativa de Crédito,Private
CC CREDIBELO LTDA. - SICOOB CREDIBELO,Cooperativa de Crédito,Private
CC CREDIBOM,Cooperativa de Crédito,Private
CC CREDICAMPO LTDA,Cooperativa de Crédito,Private
CC CREDICARPA,Cooperativa de Crédito,Private
CC CREDICERIPA,Cooperativa de Crédito,Private
CC CREDICITRUS,Cooperativa de Crédito,Private
CC CREDICOCAPEC,Cooperativa de Crédito,Private
CC CREDIESMERALDAS LTDA.,Cooperativa de Crédito,Private
CC CREDIFOR LTDA,Cooperativa de Crédito,Private
CC CREDIGUAÇU,Cooperativa de Crédito,Private
CC CREDILIVRE LTDA. - SICOOB CREDILIVRE,Cooperativa de Crédito,Private
CC CREDILUZ,Cooperativa de Crédito,Private
CC CREDIMATA,Cooperativa de Crédito,Private
CC CREDIMOTA,Cooperativa de Crédito,Private
CC CREDINOR,Cooperativa de Crédito,Private
CC CREDINTER,Cooperativa de Crédito,Private
CC CREDIOESTE LTDA. - SICOOB CREDIOESTE,Cooperativa de Crédito,Private
CC CREDIRAMA,Cooperativa de Crédito,Private
CC CREDISETE LTDA,Cooperativa de Crédito,Private
CC CREDISG,Cooperativa de Crédito,Private
CC CREDISUDESTE LTDA,Cooperativa de Crédito,Private
CC CREDIUNA LTDA,Cooperativa de Crédito,Private
CC CREDIVAR,Cooperativa de Crédito,Private
CC CREDIVERTENTES,Cooperativa de Crédito,Private
CC CREDLIDER,Cooperativa de Crédito,Private
CC DA FRONTEIRA SUL – SICREDI FRONTEIRA SUL RS,Cooperativa de Crédito,Private
CC DA REGIÃO DE ARAXÁ LTDA.,Cooperativa de Crédito,Private
CC DE PIMENTA LTDA.,Cooperativa de Crédito,Private
CC DISTRITO FEDERAL E ENTORNO,Cooperativa de Crédito,Private
CC DO NORTE CATARINENSE E SUL PARANAENSE,Cooperativa de Crédito,Private
CC DO PLANALTO SUL,Cooperativa de Crédito,Private
CC GUARANICREDI,Cooperativa de Crédito,Private
CC INT ROTA DAS TERRAS- SICREDI INT ROTA DAS TERRAS RS MG,Cooperativa de Crédito,Private
CC INT SOL COSTA OESTE,Cooperativa de Crédito,Private
CC INT SOL DO VALE EUROPEU,Cooperativa de Crédito,Private
CC INT SOL FRONTEIRAS PR/SC/SP/ES,Cooperativa de Crédito,Private
CC INT SOL HORIZONTE,Cooperativa de Crédito,Private
CC INT SOL INTEGRAÇÃO,Cooperativa de Crédito,Private
CC INT SOL LIDERANÇA,Cooperativa de Crédito,Private
CC INT SOL MINAS GERAIS,Cooperativa de Crédito,Private
CC INT SOL NORTE PARANAENSE,Cooperativa de Crédito,Private
CC INT SOL OESTE CATARINENSE,Cooperativa de Crédito,Private
CC INT SOL PROGRESSO,Cooperativa de Crédito,Private
CC INT SOL RONDONIA,Cooperativa de Crédito,Private
CC INT SOL TRADIÇÃO,Cooperativa de Crédito,Private
CC INT SOL TRIUNFO,Cooperativa de Crédito,Private
CC INT SOL UNIÃO DOS PINHAIS,Cooperativa de Crédito,Private
CC INT SOL UNIÃO DOS VALES - CRESOL UNIÃO DOS VALES,Cooperativa de Crédito,Private
CC INT SOL VALE DAS ÁGUAS,Cooperativa de Crédito,Private
CC INT SOL VALE DAS ARAUCÁRIAS,Cooperativa de Crédito,Private
CC INTEGRADO - SICOOB INTEGRADO,Cooperativa de Crédito,Private
CC ITAPAGIPE,Cooperativa de Crédito,Private
CC LITORÂNEA,Cooperativa de Crédito,Private
CC MONTECREDI LTDA.,Cooperativa de Crédito,Private
CC NOROESTE DE MINAS,Cooperativa de Crédito,Private
CC NORTE E NOROESTE DE MINAS GERAIS,Cooperativa de Crédito,Private
CC NOSSO - SICOOB NOSSO,Cooperativa de Crédito,Private
CC NOSSOCREDITO,Cooperativa de Crédito,Private
CC ORIGINAL - SICOOB ORIGINAL,Cooperativa de Crédito,Private
CC PODER JUD E MP MG,Cooperativa de Crédito,Private
CC POUP E INV ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC/MG,Cooperativa de Crédito,Private
CC POUP E INV BOTUCARAÍ - SICREDI BOTUCARAÍ RS/MG,Cooperativa de Crédito,Private
CC POUP E INV DE CAMPO GRANDE E REGIÃO,Cooperativa de Crédito,Private
CC POUP E INV DE ESPUMOSO – SICREDI ESPUMOSO RS/MG,Cooperativa de Crédito,Private
CC POUP E INV DE IBIRAIARAS - SICREDI IBIRAIARAS RS/MG,Cooperativa de Crédito,Private
CC POUP E INV DE LAJEADO - SICREDI INTEGRAÇÃO RS/MG,Cooperativa de Crédito,Private
CC POUP E INV DO PLANALTO CENTRAL - SICREDI PLANALTO CENTRAL,Cooperativa de Crédito,Private
CC POUP E INV DO SUL DE MT,Cooperativa de Crédito,Private
CC POUP E INV ENCOSTA SUPERIOR DO NORDESTE RS,Cooperativa de Crédito,Private
CC POUP E INV GRANDES LAGOS DO PARANÁ E LITORAL PAULISTA,Cooperativa de Crédito,Private
CC POUP E INV NOROESTE RS – SICREDI NOROESTE RS,Cooperativa de Crédito,Private
CC POUP E INV NORTE MATO-GROSSENSE E OESTE PARAENSE,Cooperativa de Crédito,Private
CC POUP E INV OURO BRANCO – SICREDI OURO BRANCO RS,Cooperativa de Crédito,Private
CC POUP E INV PANTANAL DO MATO GROSSO DO SUL,Cooperativa de Crédito,Private
CC POUP E INV PLANALTO - SICREDI PLANALTO RS/MG,Cooperativa de Crédito,Private
CC POUP E INV RAIZES - SICREDI RAIZES RS/SC/MG,Cooperativa de Crédito,Private
CC POUP E INV REG DAS CULTURAS - SICREDI DAS CULTURAS RS/MG,Cooperativa de Crédito,Private
CC POUP E INV SICREDI VALE DO JAGUARI E ZONA DA MATA RS/MG,Cooperativa de Crédito,Private
CC POUP E INV SUL MINAS DO RS E MG - SICREDI SUL MINAS RS/MG,Cooperativa de Crédito,Private
CC POUP E INV TERRA DOS PINHEIRAIS DO PR E NOROESTE PAULISTA,Cooperativa de Crédito,Private
CC POUP E INV UNIAO DE EST DO RS SC E MG  SICREDI UNIESTADOS,Cooperativa de Crédito,Private
CC POUP E INV UNIÃO PARANÁ/SÃO PAULO,Cooperativa de Crédito,Private
CC POUP E INV UNIVALES – SICREDI UNIVALES MT/RO,Cooperativa de Crédito,Private
CC POUP E INV VALE DO CERRADO - SICREDI VALE DO CERRADO,Cooperativa de Crédito,Private
CC POUP E INV VALE DO PIQUIRI ABCD,Cooperativa de Crédito,Private
CC POUP E INV VALOR SUST - SICREDI VALOR SUSTENTÁVEL PR/SP,Cooperativa de Crédito,Private
CC POUP INV ASS CENTRO SUL MS,Cooperativa de Crédito,Private
CC POUP INV CAMPOS GERAIS,Cooperativa de Crédito,Private
CC POUP INV CENTRO SUL,Cooperativa de Crédito,Private
CC POUP INV CERRADO GOIÁS,Cooperativa de Crédito,Private
"CC POUP INV DA REG DAS FLORES, DAS ÁGUAS E DOS VENTOS SP",Cooperativa de Crédito,Private
"CC POUP INV DO NOROESTE DE MT, AC E AM-SICREDI BIOMAS",Cooperativa de Crédito,Private
CC POUP INV DO NORTE DO PARANÁ E SUL DE SÃO PAULO,Cooperativa de Crédito,Private
"CC POUP INV FRON PR, SC E SP - SICREDI FRONTEIRAS PR/SC/SP",Cooperativa de Crédito,Private
CC POUP INV IGUAÇU - SICREDI IGUAÇU PR/SC/SP,Cooperativa de Crédito,Private
CC POUP INV INTEGRAÇÃO,Cooperativa de Crédito,Private
CC POUP INV NOROESTE SP,Cooperativa de Crédito,Private
CC POUP INV NOSSA TERRA - SICREDI NOSSA TERRA PR/SP,Cooperativa de Crédito,Private
CC POUP INV NOVOS HORIZONTES PR/SP,Cooperativa de Crédito,Private
CC POUP INV PARANAPANEMA PR/SP,Cooperativa de Crédito,Private
CC POUP INV PROGRESSO PR/SP,Cooperativa de Crédito,Private
CC POUP INV SORRISO,Cooperativa de Crédito,Private
"CC POUP INV UNIÃO DOS EST MS, TO E OESTE DA BAHIA",Cooperativa de Crédito,Private
CC POUP INV VANGUARDA CATARATAS DO IGUAÇU E VALE DO PARAÍBA,Cooperativa de Crédito,Private
CC POUP INV VERDE PARÁ - SICREDI VERDE PARÁ,Cooperativa de Crédito,Private
CC POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS,Cooperativa de Crédito,Private
CC REGIÃO CENTRAL MG,Cooperativa de Crédito,Private
CC REGIÃO MERIDIONAL BRASIL,Cooperativa de Crédito,Private
CC SACRAMENTO,Cooperativa de Crédito,Private
CC SÃO FRANCISCO DE SALES LTDA.,Cooperativa de Crédito,Private
CC SICOOB ALIANÇA,Cooperativa de Crédito,Private
CC SICOOB COSTA DO DESCOBRIMENTO,Cooperativa de Crédito,Private
CC SICOOB CRED-ACIF,Cooperativa de Crédito,Private
CC SICOOB CREDICONQUISTA,Cooperativa de Crédito,Private
CC SICOOB CREDICOONAI,Cooperativa de Crédito,Private
CC SICOOB ENGECRED,Cooperativa de Crédito,Private
CC SICOOB EXTREMO SUL,Cooperativa de Crédito,Private
CC SICOOB HORIZONTE,Cooperativa de Crédito,Private
CC SICOOB METROPOLITANO,Cooperativa de Crédito,Private
CC SICOOB NORTE SUL,Cooperativa de Crédito,Private
CC SICOOB OURO VERDE,Cooperativa de Crédito,Private
CC SICOOB SERTÃO,Cooperativa de Crédito,Private
CC SICOOB VALE SUL,Cooperativa de Crédito,Private
CC SICOOBMAIS,Cooperativa de Crédito,Private
CC SUDESTE MINEIRO - SICOOB CREDISAVI,Cooperativa de Crédito,Private
CC SUL,Cooperativa de Crédito,Private
CC TRIÂNGULO MINEIRO E SÃO FRANCISCO,Cooperativa de Crédito,Private
CC UNIÃO CENTRO OESTE LTDA,Cooperativa de Crédito,Private
CC UNIÃO DO CENTRO OESTE DE MINAS,Cooperativa de Crédito,Private
CC UNICOOB OURO BRANCO,Cooperativa de Crédito,Private
CC VALE DO CANOAS,Cooperativa de Crédito,Private
CC VALE DO ITAJAI E LITORAL SC - SICREDI VALE LITORAL SC,Cooperativa de Crédito,Private
CC VAZANTE LTDA,Cooperativa de Crédito,Private
CCE INT SOL CORONEL FREITAS,Cooperativa de Crédito,Private
CCE INT SOL DE CHAPECO,Cooperativa de Crédito,Private
CCE INT SOL DE PORTO XAVIER,Cooperativa de Crédito,Private
CCE INT SOL DE QUILOMBO,Cooperativa de Crédito,Private
CCE INT SOL DIONÍSIO CERQUEIRA,Cooperativa de Crédito,Private
CCE INT SOL DO NOROESTE RS/PE/CE,Cooperativa de Crédito,Private
CCE INT SOL FORMOSA,Cooperativa de Crédito,Private
CCE INT SOL GUARACIABA,Cooperativa de Crédito,Private
CCE INT SOL PEDRA BRANCA,Cooperativa de Crédito,Private
CCE INT SOL PINHALZINHO,Cooperativa de Crédito,Private
CCE INT SOL SANTA TEREZINHA DO PROGRESSO,Cooperativa de Crédito,Private
CCE INT SOL VITOR MEIRELES,Cooperativa de Crédito,Private
CCE INT SOL XANXERÊ,Cooperativa de Crédito,Private
CCE INT SOL XAVANTINA,Cooperativa de Crédito,Private
CCLA  REG TIROS E MATUTINA,Cooperativa de Crédito,Private
CCLA AGROEMPRESARIAL - SICREDI AGROEMPRESARIAL PR/SP,Cooperativa de Crédito,Private
CCLA ALTO SÃO FRANCISCO,Cooperativa de Crédito,Private
CCLA ANÁPOLIS E REGIÃO,Cooperativa de Crédito,Private
CCLA ARAXÁ LTDA - SICOOB COOCREZ,Cooperativa de Crédito,Private
CCLA BAMBUÍ,Cooperativa de Crédito,Private
CCLA BOA ESPERANÇA,Cooperativa de Crédito,Private
CCLA CAMPINA VERDE,Cooperativa de Crédito,Private
CCLA CAMPOS GERAIS E CAMPO DO,Cooperativa de Crédito,Private
CCLA CAMPOS NOVOS,Cooperativa de Crédito,Private
CCLA CAPITÓLIO,Cooperativa de Crédito,Private
CCLA CARMO DO RIO CLARO,Cooperativa de Crédito,Private
CCLA CENTRO BRASILEIRA,Cooperativa de Crédito,Private
CCLA CENTRO NORDESTE MINEIRO,Cooperativa de Crédito,Private
CCLA CENTRO NORTE GOIANO,Cooperativa de Crédito,Private
CCLA CENTRO NORTE MT/MS,Cooperativa de Crédito,Private
CCLA CENTRO OESTE LTDA.,Cooperativa de Crédito,Private
CCLA CENTRO-SUL GOIANO,Cooperativa de Crédito,Private
CCLA CERES E RIALMA LTDA,Cooperativa de Crédito,Private
CCLA CIRCUITO CAMPOS VERTENTES,Cooperativa de Crédito,Private
CCLA CIRCUITO DAS ÁGUAS,Cooperativa de Crédito,Private
CCLA CONSELHEIRO PENA,Cooperativa de Crédito,Private
CCLA DA GRANDE GOIÂNIA LTDA.,Cooperativa de Crédito,Private
CCLA DA REGIÃO CENTRAL DE RONDÔNIA,Cooperativa de Crédito,Private
CCLA DA REGIÃO DE  PARÁ DE MINAS,Cooperativa de Crédito,Private
CCLA DA REGIÃO DE FRUTAL,Cooperativa de Crédito,Private
CCLA DE ASSOCIADOS UNIRONDÔNIA LTDA,Cooperativa de Crédito,Private
CCLA DE CAÇADOR,Cooperativa de Crédito,Private
CCLA DE CURVELO,Cooperativa de Crédito,Private
CCLA DE GOIÂNIA E MICRORREGIÕE,Cooperativa de Crédito,Private
CCLA DE PALMEIRAS E REGIÃO,Cooperativa de Crédito,Private
CCLA DE PERNAMBUCO - SICOOB PERNAMBUCO,Cooperativa de Crédito,Private
CCLA DE PITANGUI E REGIAO LTDA,Cooperativa de Crédito,Private
CCLA DE POMPEU LTDA.,Cooperativa de Crédito,Private
CCLA DE RIO BRANCO,Cooperativa de Crédito,Private
CCLA DE RIO VERDE E REGIÃO,Cooperativa de Crédito,Private
CCLA DIVINÓPOLIS,Cooperativa de Crédito,Private
CCLA DO CENTRO GOIANO LTDA,Cooperativa de Crédito,Private
CCLA DO CENTRO SUL RONDONIENSE,Cooperativa de Crédito,Private
CCLA DO CERRADO MATO-GROSSENSE,Cooperativa de Crédito,Private
CCLA DO ESTADO DE SÃO PAULO - SICOOB PAULISTA,Cooperativa de Crédito,Private
CCLA DO LESTE DE MINAS,Cooperativa de Crédito,Private
CCLA DO PLANALTO CATARINENSE,Cooperativa de Crédito,Private
CCLA DO PLANALTO SERRANO,Cooperativa de Crédito,Private
CCLA DO TOCANTINS,Cooperativa de Crédito,Private
CCLA DO VALE,Cooperativa de Crédito,Private
CCLA DO VALE DO CANOINHAS,Cooperativa de Crédito,Private
CCLA DO VALE RIO CRIXÁS,Cooperativa de Crédito,Private
CCLA DORES DO INDAIÁ LTDA,Cooperativa de Crédito,Private
CCLA GUAPÉ - SICOOB CREDIGUAPÉ,Cooperativa de Crédito,Private
CCLA ITAPIRANGA,Cooperativa de Crédito,Private
CCLA M LESTE MT SICOOB PRIMAVE,Cooperativa de Crédito,Private
CCLA MARECHAL CÂNDIDO RONDON,Cooperativa de Crédito,Private
CCLA MARGEM ESQUERDA DO URUCUI,Cooperativa de Crédito,Private
CCLA MARTINHO CAMPOS,Cooperativa de Crédito,Private
CCLA MAXI ALFA,Cooperativa de Crédito,Private
CCLA MÉDIO OESTE,Cooperativa de Crédito,Private
CCLA MEIO OESTE CATARINENSE,Cooperativa de Crédito,Private
CCLA MONTES CLAROS,Cooperativa de Crédito,Private
CCLA NORDESTE DE MG E SUL DA B,Cooperativa de Crédito,Private
CCLA NOROESTE DE MG CREDIPINHO,Cooperativa de Crédito,Private
CCLA NORTE DE MATO GROSSO - SICOOB NORTE MT,Cooperativa de Crédito,Private
CCLA OESTE MINEIRO LTDA-SICOOB,Cooperativa de Crédito,Private
CCLA PEDRO LEOPOLDO,Cooperativa de Crédito,Private
CCLA PIRACANJUBA,Cooperativa de Crédito,Private
