#CODIGO;PRODUTO
0;Indicador de renegociação
20;ABACATE
40;ABACAXI
60;ABELHA
80;ABÓBORA-MORANGA
100;ABOBRINHA
110;ABRICÓ (DAMASCO)
120;ACÁCIA NEGRA
140;AÇAFRÃO
160;AÇAÍ
300;ACELGA
320;ACEROLA
340;AÇUCAR
341;ADIANTAMENTOS A COOPERADOS POR CONTA DE PRODUTOS ENTREGUES PARA VENDA
360;ADUBAÇÃO INTENSIVA DO SOLO
370;ERVA-DOCE
380;AGAVE (SISAL)
400;AGRIÃO
420;AGROARTESANATO
440;AGROINDÚSTRIA
460;AIPO
480;ALCACHOFRA
500;ÁLCOOL
520;ALFACE
540;ALFAFA
560;ALGODÃO
565;CAROÇO DE ALGODÃO
570;Algas
580;ALHO
590;ALHO PORÓ
600;ALMEIRÃO
620;AMEIXA
640;AMENDOIM
650;AMÊNDOA
660;AMORA
680;ANDIROBA
800;ANIMAIS SILVESTRES
820;APICULTURA
830;CALAGEM, FERTILIZANTES E ADUBAÇÃO ORGÂNICA E MINERAL
840;AQUISIÇÃO DE INSUMOS
841;AQUISIÇÃO DE INSUMOS PARA FORNECIMENTO AOS COOPERADOS
842;AQUISIÇÃO DE BENS PARA FORNECIMENTO AOS COOPERADOS
843;AQUISIÇÃO DE BENS PARA PRESTAÇÃO DE SERVIÇOS EXCLUSIVAMENTE EM EXPLORAÇÕES RURAIS
844;AQUISIÇÃO DE UTENSÍLIOS DOMÉSTICOS PARA USO EM MEIO RURAL
845;AQUISIÇÃO DE EQUIPAMENTOS PARA MANUTENÇÃO DE VEÍCULOS
846;AQUISIÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E TELECOMUNICAÇÕES
847;AQUISIÇÃO DE AQUECEDORES, GERADORES, INCINERADORES, COMPRESSORES, VENTILADORES E APAR. DE AR CONDIC.
848;AQUISIÇÃO DE EQUIPAMENTOS PARA MOLDAGEM, TORNOS, MOINHOS E PRENSA
849;AQUISIÇÃO DE MOTORES E ELEVADORES
850;CERCAS, ARAMADOS, TELHAS, TELAS PARA SOMBREAMENTO E COBERTURAS DE SOLO
851;AQUISIÇÃO DE DESTILADORES, FILTROS, DEPURADORES E DOSADORES
852;AQUISIÇÃO DE FERRAMENTAS E TUBOS
853;AQUISIÇÃO DE MATERIAL DE ESTOCAGEM/TRANSPORTE/SACARIA/CAIXAS
854;AQUISIÇÃO DE MAQUINA(S)/EQUIPAMENTO(S) PARA EXTRAÇÃO/FABRICAÇÃO
855;AQUISIÇÃO DE EMPILHADEIRA(S)/TOMBADORA(S)
856;AQUISIÇÃO DE EQUIPAMENTO(S) TOPOGRAFICO(S)
857;EQUIPAMENTOS E UTENSILIOS PARA AGRICULTURA DE PRECISÃO
858;AQUISIÇÃO DE FERRAMENTA PORTÁTIL MANUAL PARA TRATOS CULTURAIS
859;Aquisição de sêmen, óvulos e embriões de animais
860;ARAUCÁRIA
880;ARMAZÉM
900;ARROZ
920;ASININOS
940;ASPARGO
960;ATEMOIA
980;ATIVIDADE RURAL GERADORA DE RENDA PARA UNIDADE FAMILIAR
1000;AVEIA
1020;AVES
1030;AVES EXÓTICAS (GALINHA D'ANGOLA, CODORNA, FAISÃO)
1040;AVESTRUZ
1060;AVIAÇÃO AGRÍCOLA
1070;Instalações para Aves, Suínos e Coelhos
1080;AVICULTURA
1100;AVIÕES
1120;AZEVEM
1140;BABAÇU
1160;BANANA
1170;BARU
1175;BASE PARA BALANÇA
1180;BATATA
1200;BATATA-DOCE
1220;BATATA-INGLESA
1234;NEEM
1240;BERINJELA
1260;BETERRABA
1280;BICHO-DA-SEDA
1290;BICICLETAS
1300;BOVINOS
1320;BRACATINGA
1360;BRÓCOLOS (BRÓCOLIS)
1380;BUCHA VEGETAL
1390;Bambu
1400;BÚFALOS (BUBALINOS)
1410;BURITI
1420;CACAU
1580;CAFÉ
1770;CAJÁ
1780;CAJU
1790;CAMARÃO E/OU LAGOSTA
1800;CAMINHÕES
1820;CAMIONETAS
1840;CANA-DE-AÇUCAR
1850;CANINOS
1860;CANOLA
1880;CAPIM
1890;BRAQUIÁRIA
1900;CAPITAL DE GIRO
1920;CAPRINOS
1940;CAQUI
1960;CARÁ
1980;CARAMBOLA
2000;CARCINICULTURA
2020;CARNAÚBA
2040;CARRETAS, CARROÇAS E VAGÕES DE CARGA, FORRAGEIROS E DEMAIS
2080;CASTANHA-DO-BRASIL
2085;CASTANHA DE CAJU
2090;CASTANHA DE BARU
2200;CEBOLA
2220;CEBOLINHA VERDE
2230;CEBOLINHA
2240;CEDRO
2280;CENOURA
2300;CENTEIO
2310;CEREJA
2320;CEVADA
2340;CHÁ
2345;CHIA
2350;CHAMPIGNON
2360;CHERIMOIA
2380;CHICORIA
2400;CHINCHILAS
2420;CHUCHU
2440;CIDRA
2560;COCO
2620;COCO-DA-BAIA
2640;COELHO
2660;COENTRO
2680;COGUMELO
2700;COLHEITADEIRAS, COLHEDEIRAS E ARRANCADEIRAS
2710;COPAÍBA
2720;COLZA
2730;COBERTURAS DE SOLO (PLÁSTICAS, TNT, TECIDOS, SERRAGEM, PALHADAS DE CAPIM E DE GRÃOS ETC)
2740;CORREÇÃO INTENSIVA DO SOLO
2760;CORREÇÃO NÃO INTENSIVA
2780;COURO
2800;COUVE
2820;COUVE-FLOR
2840;CRAVO
2860;CRAVO-DA-ÍNDIA
2880;CRISÂNTEMO
2890;CROTALÁRIA
2900;CRUSTÁCEOS
2920;CULTIVADOR
2940;CULTIVADORES MOTORIZADOS
2960;CUNICULTURA
2980;CUPUAÇU
3080;CURAUÁ
3100;CUSTEIO DE MODALIDADE NÃO AGROPECUÁRIA
3120;Prestação de Assesoria Técnica e Empresarial
3140;DENDÊ
3160;DEPÓSITO E INSTALAÇÕES CONGÊNERES
3170;CÂMARA FRIA PARA ARMAZENAMENTO DE FRUTAS
3180;ARMAZÉM, DEPÓSITO, SILO, GALPÃO, PAIOL, ESTUFA E INSTALAÇÕES CONGÊNERES
3200;DESBRAVAMENTO DE GLEBAS RURAIS
3220;DESMATAMENTO
3240;DESPOLPADOR
3260;DESTOCA
3280;ELETRIFICAÇÃO RURAL
3300;EMBARCAÇÕES
3320;EQUINOS
