#CODIGO,VALOR,DATA_INICIO,DATA_FIM
"12010480000052",3.00,"01/07/2012",
"12010640000011",3.00,"01/07/2012",
"12010640000011",3.90,"28/02/2012","30/06/2012"
"12010640000052",3.00,"01/07/2012",
"12011220000052",3.00,"01/07/2012",
"12011960000052",3.00,"01/07/2012",
"12012200000052",3.00,"01/07/2012",
"12012680000052",3.00,"01/07/2012",
"12012880000052",3.00,"01/07/2012",
"12013360000052",3.00,"01/07/2012",
"12013600000052",3.00,"01/07/2012",
"12013600030052",3.00,"01/07/2012",
"12013600173052",3.00,"01/07/2012",
"12013600196052",3.00,"01/07/2012",
"12013600261052",3.00,"01/07/2012",
"12013720000052",3.00,"01/07/2012",
"12013920284052",3.00,"01/07/2012",
"12015080288052",3.00,"01/07/2012",
"12016040000052",3.00,"01/07/2012",
"12016200000052",3.00,"01/07/2012",
"12016940000852",3.00,"01/07/2012",
"12016940148052",3.00,"01/07/2012",
"12016940254052",3.00,"01/07/2012",
"12010040000041",3.00,"01/07/2012",
"12010040000041",3.50,"28/02/2012","30/06/2012"
"12010040000051",3.00,"01/07/2012",
"12010040000051",1.70,"28/02/2012","30/06/2012"
"12010040000052",3.00,"01/07/2012",
"12010160000041",3.00,"01/07/2012",
"12010160000041",3.50,"28/02/2012","30/06/2012"
"12010320000052",3.00,"01/07/2012",
"12010380000041",3.00,"01/07/2012",
"12010380000041",3.90,"28/02/2012","30/06/2012"
"12010540000052",3.00,"01/07/2012",
"12010560049011",3.00,"01/07/2012",
"12010560049011",3.90,"28/02/2012","30/06/2012"
"12010620000041",3.00,"01/07/2012",
"12010620000041",3.50,"28/02/2012","30/06/2012"
"12010620000052",3.00,"01/07/2012",
"12011160000041",3.00,"01/07/2012",
"12011160000041",3.50,"28/02/2012","30/06/2012"
"12011160000051",3.00,"01/07/2012",
"12011160000051",1.70,"28/02/2012","30/06/2012"
"12011160000052",3.00,"01/07/2012",
"12011420000041",3.00,"01/07/2012",
"12011420000041",3.50,"28/02/2012","30/06/2012"
"12011420000051",3.00,"01/07/2012",
"12011420000051",1.70,"28/02/2012","30/06/2012"
"12011420000052",3.00,"01/07/2012",
"12011580000052",3.00,"01/07/2012",
"12011580048041",3.00,"01/07/2012",
"12011580048041",4.70,"28/02/2012","30/06/2012"
"12011580048051",3.00,"01/07/2012",
"12011580048051",1.70,"28/02/2012","30/06/2012"
"12011580213052",3.00,"01/07/2012",
"12011580260041",3.00,"01/07/2012",
"12011580260041",4.70,"28/02/2012","30/06/2012"
"12011580260051",3.00,"01/07/2012",
"12011580260051",1.70,"28/02/2012","30/06/2012"
"12011780089041",3.00,"01/07/2012",
"12011780089041",3.50,"28/02/2012","30/06/2012"
"12011780169041",3.00,"01/07/2012",
"12011780169041",3.50,"28/02/2012","30/06/2012"
"12011840000011",3.00,"01/07/2012",
"12011840000011",2.30,"28/02/2012","30/06/2012"
"12011840000052",3.00,"01/07/2012",
"12011840021011",3.00,"01/07/2012",
"12011840021011",2.30,"28/02/2012","30/06/2012"
"12011840021052",3.00,"01/07/2012",
"12011840213052",3.00,"01/07/2012",
"12011940000052",3.00,"01/07/2012",
"12011980000052",3.00,"01/07/2012",
"12012440000041",3.00,"01/07/2012",
"12012440000041",3.50,"28/02/2012","30/06/2012"
"12012560000041",3.00,"01/07/2012",
"12012560000041",3.50,"28/02/2012","30/06/2012"
"12012560000051",3.00,"01/07/2012",
"12012560000051",1.70,"28/02/2012","30/06/2012"
"12012560000052",3.00,"01/07/2012",
"12013140000041",3.00,"01/07/2012",
"12013140000041",3.50,"28/02/2012","30/06/2012"
"12013140000051",3.00,"01/07/2012",
"12013140000051",1.70,"28/02/2012","30/06/2012"
"12013480000052",3.00,"01/07/2012",
"12013580000052",3.00,"01/07/2012",
"12013660000052",3.00,"01/07/2012",
"12013780000041",3.00,"01/07/2012",
"12013780000041",3.50,"28/02/2012","30/06/2012"
"12013780000051",3.00,"01/07/2012",
"12013780000051",1.70,"28/02/2012","30/06/2012"
"12013800000052",3.00,"01/07/2012",
"12013860000052",3.00,"01/07/2012",
"12014140000041",3.00,"01/07/2012",
