#CODIGO,DESCRICAO,VALOR,DATA_INICIO,DATA_FIM
"0403","RECURSOS LIVRES EQUALIZÁVEIS",6.75,"01/11/2011",
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO",6.50,"01/07/2014",
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO",5.50,"01/07/2012","30/06/2014"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO",6.75,"01/11/2011","30/06/2012"
"0100","TESOURO NACIONAL",6.50,"01/07/2014",
"0100","TESOURO NACIONAL",5.50,"01/07/2012","30/06/2014"
"0100","TESOURO NACIONAL",6.75,"01/11/2011","30/06/2012"
"0201","OBRIGATÓRIOS - MCR 6.2",7.50,"01/07/2021",
"0201","OBRIGATÓRIOS - MCR 6.2",6.00,"01/07/2020","30/06/2021"
"0201","OBRIGATÓRIOS - MCR 6.2",8.00,"02/07/2019","30/06/2020"
"0201","OBRIGATÓRIOS - MCR 6.2",0.08,"01/07/2019","02/07/2019"
"0201","OBRIGATÓRIOS - MCR 6.2",7.00,"01/07/2018","30/06/2019"
"0201","OBRIGATÓRIOS - MCR 6.2",9.00,"28/08/2017","30/06/2018"
"0201","OBRIGATÓRIOS - MCR 6.2",8.50,"01/07/2017","28/08/2017"
"0201","OBRIGATÓRIOS - MCR 6.2",5.50,"01/07/2012","30/06/2014"
"0201","OBRIGATÓRIOS - MCR 6.2",11.25,"01/07/2016","30/06/2017"
"0201","OBRIGATÓRIOS - MCR 6.2",8.75,"01/07/2015","30/06/2016"
"0201","OBRIGATÓRIOS - MCR 6.2",6.50,"01/07/2014","30/06/2015"
"0201","OBRIGATÓRIOS - MCR 6.2",6.75,"01/11/2011","30/06/2012"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA",6.00,"01/07/2020",
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA",8.00,"01/07/2019","30/06/2020"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA",7.00,"01/07/2018","30/06/2019"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA",8.50,"01/07/2017","30/06/2018"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA",9.50,"01/07/2016","30/06/2017"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA",8.75,"01/07/2015","30/06/2016"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA",6.75,"01/11/2011","30/06/2015"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2",8.50,"01/07/2017",
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2",9.50,"01/07/2016","30/06/2017"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2",6.50,"01/07/2014","30/06/2016"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2",5.50,"01/07/2012","30/06/2014"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2",6.75,"01/11/2011","30/06/2012"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO",6.75,"01/11/2011",
"0303","POUPANÇA RURAL - LIVRE",65.00,"01/01/2016",
"0303","POUPANÇA RURAL - LIVRE",51.00,"01/01/2014","31/12/2015"
"0303","POUPANÇA RURAL - LIVRE",35.00,"01/01/2013","31/12/2013"
"0303","POUPANÇA RURAL - LIVRE",65.00,"01/11/2011","31/12/2012"
"0402","RECURSOS LIVRES",65.00,"01/11/2011",
"0405","FUNDO DE COMMODITIES",65.00,"01/11/2011",
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)",6.45,"01/07/2021",
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)",5.03,"01/07/2020","30/06/2021"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)",11.35,"01/07/2017","30/06/2020"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)",12.35,"01/07/2016","30/06/2017"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)",12.35,"01/07/2015","30/06/2016"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)",8.83,"01/01/2014","30/06/2015"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)",5.50,"01/07/2012","31/12/2013"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)",6.75,"01/11/2011","30/06/2012"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)",6.43,"01/07/2021",
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)",5.05,"01/07/2020","30/06/2021"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)",11.35,"01/07/2017","30/06/2020"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)",12.35,"01/07/2016","30/06/2017"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)",12.35,"01/07/2015","30/06/2016"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)",8.83,"01/01/2014","30/06/2015"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)",5.50,"01/07/2012","31/12/2013"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)",6.75,"01/11/2011","30/06/2012"
"0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)",7.27,"01/07/2021",
"0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)",5.78,"01/07/2020","30/06/2021"
"0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)",12.25,"01/07/2017","30/06/2020"
"0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)",13.25,"01/07/2016","30/06/2017"
"0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)",12.35,"01/07/2015","30/06/2016"
"0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)",9.50,"01/01/2013","30/06/2015"
"0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)",6.75,"01/11/2011","31/12/2012"
"0505","BNDES/FINAME - EQUALIZÁVEL",10.00,"01/11/2011",
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR",6.75,"01/11/2011",
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA",11.00,"01/07/2022",
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA",7.00,"01/07/2021","30/06/2022"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA",6.75,"28/08/2020","30/06/2021"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA",7.50,"01/07/2020","27/08/2020"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA",9.50,"01/07/2018","30/06/2020"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA",11.25,"01/07/2016","30/06/2018"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA",10.50,"01/07/2015","30/06/2016"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA",7.50,"01/07/2014","30/06/2015"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA",6.75,"01/11/2011","30/06/2014"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA",4.00,"01/07/2021",
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA",5.00,"01/11/2011","30/06/2021"
"0507","INCRA",60.75,"01/11/2011",
"0600","GOVERNOS E FUNDOS ESTADUAIS OU MUNICIPAIS",3.50,"01/11/2011",
"0680","PIS/PASEP",6.75,"01/11/2011",
"0850","CAPTAÇÃO EXTERNA",6.75,"01/11/2011",
"0990","OUTRAS FONTES DE RECURSOS NÃO ESPECIFICADAS",6.75,"01/11/2011",
"0900","ATIVIDADE NÃO FINANCIADA ENQUADRADA NO PROAGRO (MCR 16.8)",0.00,"01/11/2011",
"0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL",5.50,"20/09/2012",
"0260","COMPULSÓRIO SOBRE RECURSOS À VISTA - REFORÇO DO INVESTIMENTO (CIRC 3.745)",6.00,"01/01/2014",
"0260","COMPULSÓRIO SOBRE RECURSOS À VISTA - REFORÇO DO INVESTIMENTO (CIRC 3.745)",4.00,"01/07/2013","31/12/2013"
"0260","COMPULSÓRIO SOBRE RECURSOS À VISTA - REFORÇO DO INVESTIMENTO (CIRC 3.745)",3.00,"01/01/2013","30/06/2013"
"0430","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - TAXA LIVRE",65.00,"01/01/2013",
"0506","BNDES LIVRE",65.00,"01/01/2016",
"0506","BNDES LIVRE",20.00,"01/01/2013","31/12/2015"
"0440","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - TAXA FAVORECIDA",8.50,"01/07/2018",
"0440","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - TAXA FAVORECIDA",12.75,"01/07/2016","30/06/2018"
"0451","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - LIVRE",65.00,"09/08/2021",
