#CODIGO,DESCRICAO,UF
"0403","RECURSOS LIVRES EQUALIZÁVEIS","TO"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","SP"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","SE"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","SC"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","RS"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","RR"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","RO"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","RN"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","RJ"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","PR"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","PI"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","PE"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","PB"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","PA"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","MT"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","MS"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","MG"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","MA"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","GO"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","ES"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","DF"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","CE"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","BA"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","AP"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","AM"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","AL"
"0403","RECURSOS LIVRES EQUALIZÁVEIS","AC"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","TO"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","SP"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","SE"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","SC"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","RS"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","RR"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","RO"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","RN"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","RJ"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","PR"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","PI"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","PE"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","PB"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","PA"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","MT"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","MS"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","MG"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","MA"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","GO"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","ES"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","DF"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","CE"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","BA"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","AP"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","AM"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","AL"
"0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO","AC"
"0100","TESOURO NACIONAL","TO"
"0100","TESOURO NACIONAL","SP"
"0100","TESOURO NACIONAL","SE"
"0100","TESOURO NACIONAL","SC"
"0100","TESOURO NACIONAL","RS"
"0100","TESOURO NACIONAL","RR"
"0100","TESOURO NACIONAL","RO"
"0100","TESOURO NACIONAL","RN"
"0100","TESOURO NACIONAL","RJ"
"0100","TESOURO NACIONAL","PR"
"0100","TESOURO NACIONAL","PI"
"0100","TESOURO NACIONAL","PE"
"0100","TESOURO NACIONAL","PB"
"0100","TESOURO NACIONAL","PA"
"0100","TESOURO NACIONAL","MT"
"0100","TESOURO NACIONAL","MS"
"0100","TESOURO NACIONAL","MG"
"0100","TESOURO NACIONAL","MA"
"0100","TESOURO NACIONAL","GO"
"0100","TESOURO NACIONAL","ES"
"0100","TESOURO NACIONAL","DF"
"0100","TESOURO NACIONAL","CE"
"0100","TESOURO NACIONAL","BA"
"0100","TESOURO NACIONAL","AP"
"0100","TESOURO NACIONAL","AM"
"0100","TESOURO NACIONAL","AL"
"0100","TESOURO NACIONAL","AC"
"0201","OBRIGATÓRIOS - MCR 6.2","TO"
"0201","OBRIGATÓRIOS - MCR 6.2","SP"
"0201","OBRIGATÓRIOS - MCR 6.2","SE"
"0201","OBRIGATÓRIOS - MCR 6.2","SC"
"0201","OBRIGATÓRIOS - MCR 6.2","RS"
"0201","OBRIGATÓRIOS - MCR 6.2","RR"
"0201","OBRIGATÓRIOS - MCR 6.2","RO"
"0201","OBRIGATÓRIOS - MCR 6.2","RN"
"0201","OBRIGATÓRIOS - MCR 6.2","RJ"
"0201","OBRIGATÓRIOS - MCR 6.2","PR"
"0201","OBRIGATÓRIOS - MCR 6.2","PI"
"0201","OBRIGATÓRIOS - MCR 6.2","PE"
"0201","OBRIGATÓRIOS - MCR 6.2","PB"
"0201","OBRIGATÓRIOS - MCR 6.2","PA"
"0201","OBRIGATÓRIOS - MCR 6.2","MT"
"0201","OBRIGATÓRIOS - MCR 6.2","MS"
"0201","OBRIGATÓRIOS - MCR 6.2","MG"
"0201","OBRIGATÓRIOS - MCR 6.2","MA"
"0201","OBRIGATÓRIOS - MCR 6.2","GO"
"0201","OBRIGATÓRIOS - MCR 6.2","ES"
"0201","OBRIGATÓRIOS - MCR 6.2","DF"
"0201","OBRIGATÓRIOS - MCR 6.2","CE"
"0201","OBRIGATÓRIOS - MCR 6.2","BA"
"0201","OBRIGATÓRIOS - MCR 6.2","AP"
"0201","OBRIGATÓRIOS - MCR 6.2","AM"
"0201","OBRIGATÓRIOS - MCR 6.2","AL"
"0201","OBRIGATÓRIOS - MCR 6.2","AC"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","TO"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","SP"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","SE"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","SC"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","RS"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","RR"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","RO"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","RN"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","RJ"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","PR"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","PI"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","PE"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","PB"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","PA"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","MT"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","MS"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","MG"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","MA"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","GO"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","ES"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","DF"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","CE"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","BA"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","AP"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","AM"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","AL"
"0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA","AC"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","TO"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","SP"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","SE"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","SC"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","RS"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","RR"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","RO"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","RN"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","RJ"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","PR"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","PI"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","PE"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","PB"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","PA"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","MT"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","MS"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","MG"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","MA"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","GO"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","ES"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","DF"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","CE"
