#CODIGO,DESCRICAO
"001","Produtor rural (pessoa física ou jurídica) - (MCR 1-4-1-a)"
"002","Cooperativa de produção agropecuária – na condição de sociedade prestadora de serviços de natureza agropecuária aos seus cooperados (MCR 5-1-2-b e c)"
"003","Cooperativa de produção agropecuária – na condição de produtor rural - (MCR 5-1-2-a)"
"004","Associação de produtores rurais (MCR 4-1-2)"
"005","Pessoa física ou jurídica da atividade de pesquisa agropecuária (MCR 1-4-2-a e b)"
"006","Pessoa física ou jurídica produtora de mudas, sementes, sêmen para inseminação artificial e embriões (MCR 1-4-2-a e b)"
"007","Prestador de serviço de mecanização, de medição de lavoura ou de serviço de inseminação artificial à agropecuária (MCR 1-4-2-c e d)"
"008","Beneficiador (MCR 1-4-2A-a)"
"009","Agroindústria (MCR 1-4-2A-a)"
"010","Cerealista (MCR 1-4-2A-b)"
"011","Silvícola/indígena (MCR 1-4-3)"
"012","Pescador (MCR 2-1-15 e 20)"
"013","Aquicultor (MCR 2-1-20)"
"014","Torrefadora/indústria de café solúvel (MCR 9-4-1-a)"
"015","Exportador de café (MCR 9-4-1-a)"
"016","Silvicultor (MCR 10-2-2-a-III)"
"017","Extrativista (MCR 2-1-15)"
"018","Quilombola rural (MCR 10-2-2-b-II)"
