#CODIGO_PROGRAMA,DESCRICAO_PROGRAMA,CODIGO_FONTE,DESCRICAO_FONTE
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0304","EXIGIBILIDADE ADICIONAL DA POUPANÇA RURAL"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0202","EXIGIBILIDADE ADICIONAL DOS RECURSOS À VISTA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0431","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - CONTROLADOS - SUBVENÇÃO ECONÔMICA - MCR 6-7-7A-"b"-I"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0650","FAT - FUNDO DE AMPARO AO TRABALHADOR"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0505","BNDES/FINAME - EQUALIZÁVEL"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","0201","OBRIGATÓRIOS - MCR 6.2"
