#CNPJ_IF;NOME_IF;SEGMENTO_IF
00000000;BCO DO BRASIL S.A.;BANCO PÚBLICO
00000208;BRB - BCO DE BRASILIA S.A.;BANCO PÚBLICO
00058338;BOM CREDI;COOPERATIVA DE CRÉDITO
00068987;CC ARACREDI LTDA.;COOPERATIVA DE CRÉDITO
00204963;CCR SEARA;COOPERATIVA DE CRÉDITO
00315406;CCR CAZOLA;COOPERATIVA DE CRÉDITO
00360305;CAIXA ECONOMICA FEDERAL;BANCO PÚBLICO
00416968;BANCO INTER;BANCO PRIVADO
00429890;CC CREDIAGRO;COOPERATIVA DE CRÉDITO
00517645;BCO RIBEIRAO PRETO S.A.;BANCO PRIVADO
00694389;CCLA SICOOB CREDICARU SC/RS;COOPERATIVA DE CRÉDITO
00698609;CC NORTE E NOROESTE DE MINAS GERAIS;COOPERATIVA DE CRÉDITO
00707903;CC VALE DO CANOAS;COOPERATIVA DE CRÉDITO
00803287;CC CREDIVAZ LTDA;COOPERATIVA DE CRÉDITO
00804046;COOP CREDICAPI LTDA - SICOOB CREDICAPI;COOPERATIVA DE CRÉDITO
00815319;SICOOB SUL-SERRANO;COOPERATIVA DE CRÉDITO
00869687;CCLA BOA ESPERANÇA;COOPERATIVA DE CRÉDITO
00912488;CCLA ALTO MÉDIO SÃO FRANCISCO;COOPERATIVA DE CRÉDITO
00966246;CC CREDICERIPA;COOPERATIVA DE CRÉDITO
00968602;CCLA VALE SÃO PATRICIO LTDA;COOPERATIVA DE CRÉDITO
00971297;CRESOL MARMELEIRO;COOPERATIVA DE CRÉDITO
00971300;COOP CRESOL PIONEIRA;COOPERATIVA DE CRÉDITO
01009908;CCLA PARA DE MINAS;COOPERATIVA DE CRÉDITO
01023570;BCO RABOBANK INTL BRASIL S.A.;BANCO PRIVADO
01060307;CCLA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA.;COOPERATIVA DE CRÉDITO
01073966;CCR DE ABELARDO LUZ;COOPERATIVA DE CRÉDITO
01086342;CRESOL LARANJEIRAS DO SUL;COOPERATIVA DE CRÉDITO
01152097;CC CREDIMATA;COOPERATIVA DE CRÉDITO
01155801;COOP CRESOL CENTRO SERRA;COOPERATIVA DE CRÉDITO
01181521;BCO COOPERATIVO SICREDI S.A.;BANCO PRIVADO
01187961;CC DISTRITO FEDERAL E ENTORNO;COOPERATIVA DE CRÉDITO
01201006;CRESOL CAPANEMA;COOPERATIVA DE CRÉDITO
01205736;COOP DE CRÉDITO SICOOB COSTA DO DESCOBRIMENTO LTDA.;COOPERATIVA DE CRÉDITO
01276398;CCR INTER. SOLIDARIA PINHAO;COOPERATIVA DE CRÉDITO
01374196;CC SÃO FRANCISCO DE SALES LTDA.;COOPERATIVA DE CRÉDITO
01389651;CCLA DO PLANALTO CATARINENSE;COOPERATIVA DE CRÉDITO
01401771;CCC INT SOL CENTRAL CRESOL BASER;COOPERATIVA DE CRÉDITO
01480754;CCLA VALE DO IGUAÇU;COOPERATIVA DE CRÉDITO
01522368;BCO BNP PARIBAS BRASIL S A;BANCO PRIVADO
01559914;CCLA LESTE E NORDESTE MINEIRO;COOPERATIVA DE CRÉDITO
01601342;CCLA MICRO REGIÕES DE GOIÂNIA;COOPERATIVA DE CRÉDITO
01604998;CCLA SUL MINAS-SICOOB CREDIVAS;COOPERATIVA DE CRÉDITO
01608685;COOP DO ESTADO DO ACRE LTDA.;COOPERATIVA DE CRÉDITO
01609345;CC CREDICAMPINA;COOPERATIVA DE CRÉDITO
01637949;CCLA VALE DO PARANAPANEMA;COOPERATIVA DE CRÉDITO
01644264;CCLA MEDIO PIRACICABA E CIRCUITO DO OURO LTDA;COOPERATIVA DE CRÉDITO
01664968;CCLA DE ASSOCIADOS UNIRONDÔNIA LTDA;COOPERATIVA DE CRÉDITO
01667352;CCLA SERTÃO MINAS;COOPERATIVA DE CRÉDITO
01667766;CCLA NOVA SERRANA E REGIÃO CO;COOPERATIVA DE CRÉDITO
01692448;CCLA DO PLANALTO SERRANO;COOPERATIVA DE CRÉDITO
01701201;KIRTON BANK;BANCO PRIVADO
01703620;CCLA UNIÃO CENTRO OESTE MINAS;COOPERATIVA DE CRÉDITO
01720488;CCLA DE GOIÂNIA E MICRORREGIÕE;COOPERATIVA DE CRÉDITO
01736516;CCLA REG. CTR. E OESTE MINEIRO;COOPERATIVA DE CRÉDITO
01739375;CCLA LAGOA DA PRATA;COOPERATIVA DE CRÉDITO
01760242;CCLA DE BH E CIDADES POLO DE MG;COOPERATIVA DE CRÉDITO
01816701;CCLA REGIAO VALES GOIAS;COOPERATIVA DE CRÉDITO
01845359;CCR SICOOB CREDITE;COOPERATIVA DE CRÉDITO
01869822;CCR H NOVOS DE NOVO SARANDI;COOPERATIVA DE CRÉDITO
02015588;CCLA DO CENTRO SUL RONDONIENSE;COOPERATIVA DE CRÉDITO
02025743;COOP CRESOL NORDESTE;COOPERATIVA DE CRÉDITO
02031139;CCLA MONTES CLAROS;COOPERATIVA DE CRÉDITO
02038232;BANCO SICOOB S.A.;BANCO PRIVADO
02057584;CC SICOOB SERTÃO;COOPERATIVA DE CRÉDITO
02077618;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;
02090126;CCLA SICOOB VALCREDI SUL;COOPERATIVA DE CRÉDITO
02137018;CCLA DE RORAIMA LTDA.;COOPERATIVA DE CRÉDITO
02144899;CCLA DA REGIÃO CENTRAL DE RONDÔNIA;COOPERATIVA DE CRÉDITO
02168202;PRIMATO COOPERATIVA AGROINDUSTRIAL;
02173447;CCLA CENTRO NORDESTE MINEIRO;COOPERATIVA DE CRÉDITO
02232383;CCLA CIRCUITO CAMPOS VERTENTES;COOPERATIVA DE CRÉDITO
02282165;CC SICOOB CREDICONQUISTA;COOPERATIVA DE CRÉDITO
02282709;COOP CENTRO NORTE BRASILEIRO;COOPERATIVA DE CRÉDITO
02309070;CCLA CREDISIS JICRED;COOPERATIVA DE CRÉDITO
02335109;CCLA ZONA DA MATA LTDA;COOPERATIVA DE CRÉDITO
02382755;SICOOB POTIGUAR;COOPERATIVA DE CRÉDITO
02398976;SISPRIME DO BRASIL - COOP;COOPERATIVA DE CRÉDITO
02446089;COOP CRESOL UNIAO;COOPERATIVA DE CRÉDITO
02447120;CC SICOOB EXTREMO SUL LTDA.;COOPERATIVA DE CRÉDITO
02448310;COOP CRESOL PROGRESSO;COOPERATIVA DE CRÉDITO
02448839;SICOOB CREDIUNIÃO;COOPERATIVA DE CRÉDITO
02466552;CC SICOOB VALE SUL;COOPERATIVA DE CRÉDITO
02483330;CCR INT SOL VALE DAS ARAUCARIA;COOPERATIVA DE CRÉDITO
02493000;SICOOB LESTE;COOPERATIVA DE CRÉDITO
02511232;CRESOL CHOPINZINHO;COOPERATIVA DE CRÉDITO
02565350;CRESOL DE HONORIO SERPA;COOPERATIVA DE CRÉDITO
02587492;CCLA URUBICI;COOPERATIVA DE CRÉDITO
02641969;CCLAA NOVA TRENTO;COOPERATIVA DE CRÉDITO
02645093;CRESOL DE PITANGA;COOPERATIVA DE CRÉDITO
02663426;COOP CRESOL NOROESTE;COOPERATIVA DE CRÉDITO
02698001;CRESOL DE FRANCISCO BELTRAO;COOPERATIVA DE CRÉDITO
02766672;COOP CRESOL PLANALTO SUL;COOPERATIVA DE CRÉDITO
02843443;COOP SICREDI NORTE SC;COOPERATIVA DE CRÉDITO
02844024;COOP CRESOL EVOLUÇAO;COOPERATIVA DE CRÉDITO
02876918;CC SICOOB NORTE SUL;COOPERATIVA DE CRÉDITO
02885855;BADESUL DESENVOLVIMENTO AF/RS;BANCO DE DESENVOLVIMENTO E AGÊNCIA DE FOMENTO
02904125;COOP CRESOL JACUTINGA;COOPERATIVA DE CRÉDITO
02904138;COOP CRESOL ÁUREA;COOPERATIVA DE CRÉDITO
02910987;COOP CRESOL CENTRO SUL RS/MS;COOPERATIVA DE CRÉDITO
02923389;COOP SICREDI ARACAJU;COOPERATIVA DE CRÉDITO
02931668;SICOOB FLUMINENSE;COOPERATIVA DE CRÉDITO
02934201;COOP CRESOL LIDERANCA;COOPERATIVA DE CRÉDITO
02935307;CC SICOOB CREDSEGURO LTDA.;COOPERATIVA DE CRÉDITO
02961072;CRESOL DE MANGUEIRINHA;COOPERATIVA DE CRÉDITO
02992446;BANCO CNH INDUSTRIAL CAPITAL S.A;BANCO PRIVADO
03013889;CRESOL DE LINDOESTE;COOPERATIVA DE CRÉDITO
03014407;CRESOL DE NOVA PRATA DO IGUACU;COOPERATIVA DE CRÉDITO
03015152;COOP CRESOL SÃO VALENTIM;COOPERATIVA DE CRÉDITO
03033469;CC DO PLANALTO SUL;COOPERATIVA DE CRÉDITO
03042597;COOP SICREDI CAMPO GRANDE;COOPERATIVA DE CRÉDITO
03046391;UNIPRIME COOPCENTRAL LTDA.;COOPERATIVA DE CRÉDITO
03047549;CC CAP UNICIDADES;COOPERATIVA DE CRÉDITO
03065046;COOP SICREDI NOROESTE SP;COOPERATIVA DE CRÉDITO
03066193;CRESOL DE AMPERE;COOPERATIVA DE CRÉDITO
03190530;CCR INT SOL FRONTEIRA;COOPERATIVA DE CRÉDITO
03222753;CREDISIS CREDIARI COOP LTDA.;COOPERATIVA DE CRÉDITO
03320525;COOP ARACOOP LTDA. - SICOOB ARACOOP;COOPERATIVA DE CRÉDITO
03323840;BCO ALFA S.A.;BANCO PRIVADO
03326437;CCLA CENTRO NORTE MT/MS;COOPERATIVA DE CRÉDITO
03348165;CRESOL DE VERE;COOPERATIVA DE CRÉDITO
03356447;CRESOL DE CANDOI;COOPERATIVA DE CRÉDITO
03358914;SICOOB CREDIROCHAS;COOPERATIVA DE CRÉDITO
03412878;CC CREDIRAMA;COOPERATIVA DE CRÉDITO
03459850;CC SICOOB METROPOLITANO;COOPERATIVA DE CRÉDITO
03485130;COOP CRESOL ENCOSTAS DA SERRA GERAL;COOPERATIVA DE CRÉDITO
03519240;CC PODER JUD E MP MG;COOPERATIVA DE CRÉDITO
03532415;BCO ABN AMRO S.A.;BANCO PRIVADO
03566655;COOP SICREDI CELEIRO OESTE;COOPERATIVA DE CRÉDITO
03612764;COOP FRONTEIRAS;COOPERATIVA DE CRÉDITO
03632872;SICOOB CREDISUL;COOPERATIVA DE CRÉDITO
03645752;CC CREDISG;COOPERATIVA DE CRÉDITO
03661027;CCR INT SOL SANTIAGO DO SUL;COOPERATIVA DE CRÉDITO
03730508;CCLA DO CENTRO GOIANO LTDA;COOPERATIVA DE CRÉDITO
03732359;CCLA DE PERNAMBUCO - SICOOB PERNAMBUCO;COOPERATIVA DE CRÉDITO
03793242;COOP SICREDI SUL SC;COOPERATIVA DE CRÉDITO
03836609;CCLA DE TOCANTINS E OESTE DA BAHIA;COOPERATIVA DE CRÉDITO
03918382;AGENCIA FOMENTO GOIAS;BANCO DE DESENVOLVIMENTO E AGÊNCIA DE FOMENTO
03941182;CCLA CIRCUITO DAS ÁGUAS;COOPERATIVA DE CRÉDITO
03960819;CCLA VALES DO ITAJAÍ E ITAPOCÚ;COOPERATIVA DE CRÉDITO
03965737;COOP CRESOL VANGUARDA;COOPERATIVA DE CRÉDITO
03985375;CREDISIS SUDOESTE/RO;COOPERATIVA DE CRÉDITO
04013172;CC SICOOB 3 COLINAS;COOPERATIVA DE CRÉDITO
04079285;CCLA DE ITAJUBÁ - SICOOB SUDESTE MAIS;COOPERATIVA DE CRÉDITO
04174720;CC SICOOB COOPEMAR;COOPERATIVA DE CRÉDITO
04181542;CCLA DE PITANGUI E REGIAO LTDA;COOPERATIVA DE CRÉDITO
04225119;CRESOL DE PLANALTO;COOPERATIVA DE CRÉDITO
